regime,bin,feature,pooled_ic,mean_ts_ic,rows
breadth_12h,mid,gk_vol_24h,-0.017110206671405177,-0.04799391320022728,29337
breadth_12h,mid,ret_168h,-0.012234072933466953,-0.05177520828422655,29337
breadth_12h,mid,atr_14,-0.018779652625309198,-0.05337783512208697,29337
breadth_12h,mid,rvol_24h,-0.018410737195991442,-0.05568732230733671,29337
breadth_12h,mid,residual_24h,-0.020681034310012947,-0.06659097043401112,29337
breadth_12h,mid,ret_24h,-0.021271259835408524,-0.06706565869996506,29337
breadth_12h,mid,mom_z_24h,-0.019818221221619907,-0.06860891232082311,29337
breadth_12h,mid,rvol_12h,-0.021620689430263705,-0.06956453713791563,29337
breadth_12h,mid,residual_12h,-0.03385262103572271,-0.09352892498889787,29337
breadth_12h,mid,ret_12h,-0.03522184754727863,-0.09529250968120645,29337
breadth_12h,mid,ret_48h,-0.03349454111302742,-0.09593538028248383,29337
breadth_12h,mid,pct_coins_up_12h,,,29337
breadth_12h,mid,pct_coins_up_1h,,,29337
breadth_12h,mid,hour_sin,,,29337
breadth_12h,mid,hour_cos,,,29337
breadth_12h,mid,dow_sin,,,29337
breadth_12h,mid,dow_cos,,,29337
btc_rvol_24h,high,iv_rv_spread,0.013289598109676278,0.050512817126431436,28512
btc_rvol_24h,high,dist_from_high_24h,0.008345771408601033,0.028324972089764172,28512
btc_rvol_24h,high,ret_24h,0.004359673735377617,-0.007135532189043203,28512
btc_rvol_24h,high,oi_chg_24h,0.004138312496475438,-0.008289097845071173,28512
btc_rvol_24h,high,residual_24h,0.0029668261017577052,-0.009392214875129945,28512
btc_rvol_24h,high,oi_chg_12h,-0.0030248574388801043,-0.01252809132368892,28512
btc_rvol_24h,high,ret_48h,-0.002089761555331317,-0.016705303687951645,28512
btc_rvol_24h,high,ls_divergence,-0.00606611044390084,-0.022065962241559538,28512
btc_rvol_24h,high,mom_z_24h,-0.0016695286106244256,-0.024577102087801082,28512
btc_rvol_24h,high,ret_skew_168h,-0.012893557666423012,-0.028834174668715327,28512
btc_rvol_24h,high,residual_12h,-0.006608184392691044,-0.032470000143452145,28512
btc_rvol_24h,high,taker_cvd_24h,-0.011052218582491821,-0.035219406756603885,28512
btc_rvol_24h,high,rel_volume_cs,-0.015714911451471678,-0.03554549242815616,28512
btc_rvol_24h,high,taker_cvd_12h,-0.013064110514293552,-0.035589684412058814,28512
btc_rvol_24h,high,ret_12h,-0.0063744925744123136,-0.037532311909903714,28512
btc_rvol_24h,high,oi_zscore,-0.00834637168932963,-0.0378296278784567,28512
btc_rvol_24h,high,cum_funding_24h,-0.014182758605751225,-0.04383569387735814,28512
btc_rvol_24h,high,gk_vol_24h,-0.011788018136810604,-0.04978431149329837,28512
btc_rvol_24h,high,rvol_24h,-0.013289598109676278,-0.050512817126431436,28512
btc_rvol_24h,high,ret_168h,-0.012416814216042463,-0.05230306119104316,28512
btc_rvol_24h,high,atr_14,-0.012883456938799278,-0.055149090334908064,28512
btc_rvol_24h,high,rvol_12h,-0.015159056826308272,-0.059477015173028704,28512
btc_rvol_24h,high,pct_coins_up_12h,,,28512
btc_rvol_24h,high,pct_coins_up_1h,,,28512
btc_rvol_24h,high,hour_sin,,,28512
btc_rvol_24h,high,hour_cos,,,28512
btc_rvol_24h,high,dow_sin,,,28512
btc_rvol_24h,high,dow_cos,,,28512
btc_rvol_24h,low,dist_from_high_24h,0.027057035172384794,0.07738780724657546,28545
btc_rvol_24h,low,gk_vol_24h,0.019971309207132304,0.015400616139471765,28545
btc_rvol_24h,low,atr_14,0.01958818605044794,0.013523674722610656,28545
btc_rvol_24h,low,ls_divergence,-0.0015995731957295348,0.005142972490577612,28545
btc_rvol_24h,low,iv_rv_spread,-0.01464187974599576,0.004160176487918127,28545
btc_rvol_24h,low,rel_volume_cs,0.004965525695717796,-0.0006242894055920529,28545
btc_rvol_24h,low,taker_cvd_24h,0.0019275768920570017,-0.002896830685100537,28545
btc_rvol_24h,low,rvol_24h,0.01464187974599576,-0.004160176487918127,28545
btc_rvol_24h,low,cum_funding_24h,-0.008565185250213065,-0.005797677831077445,28545
btc_rvol_24h,low,oi_zscore,0.0011837869858595683,-0.005883219424975578,28545
btc_rvol_24h,low,taker_cvd_12h,0.0009838010178122465,-0.008634553058806324,28545
btc_rvol_24h,low,ret_skew_168h,-0.0015146783236173744,-0.00995672654760955,28545
btc_rvol_24h,low,rvol_12h,0.010846419214092136,-0.01030444423865689,28545
btc_rvol_24h,low,oi_chg_24h,-0.00785922972198453,-0.013158185376533434,28545
btc_rvol_24h,low,oi_chg_12h,-0.010320058773309044,-0.0224406536271817,28545
btc_rvol_24h,low,ret_168h,-0.009171388457889446,-0.03665808316133863,28545
btc_rvol_24h,low,mom_z_24h,-0.024134989475339028,-0.07224335516783446,28545
btc_rvol_24h,low,ret_24h,-0.02749137283728808,-0.07959197666359574,28545
