window,horizon,feature,mean_ic,t_stat,n_weeks,abs_ic
W1,12,funding_zscore,-0.03301820245936039,-2.0862605635192684,25,0.03301820245936039
W1,12,funding_x_mom_12h,-0.014123380460300379,-0.5568362332753759,25,0.014123380460300379
W1,12,funding_x_mom_24h,-0.022671708890746704,-1.1059882677808524,25,0.022671708890746704
W1,12,oi_value_usd,-0.017391579623434697,-1.1669638321475126,25,0.017391579623434697
W1,12,taker_buy_sell_ratio,-0.02944743206658737,-4.187406774411345,25,0.02944743206658737
W1,12,top_ls_ratio,-0.030355987969389032,-3.077149526708007,25,0.030355987969389032
W1,12,global_ls_ratio,0.013774171472062328,1.068491053457854,25,0.013774171472062328
W1,12,oi_chg_1h,-0.04333954646853547,-5.427324170557184,25,0.04333954646853547
W1,12,oi_chg_4h,-0.07141308917885972,-2.7287634343117655,25,0.07141308917885972
W1,12,oi_chg_12h,-0.04056038797591807,-1.6514471730573121,25,0.04056038797591807
W1,12,oi_chg_24h,-0.07022457229037171,-2.9841122638942865,25,0.07022457229037171
W1,12,oi_zscore,-0.12479652630757103,-4.7843522203303825,25,0.12479652630757103
W1,12,oi_ret_diverge,-0.015138463395583897,-1.0301036160705315,25,0.015138463395583897
W1,12,taker_imbalance,-0.02944743206658737,-4.187406774411345,25,0.02944743206658737
W1,12,taker_cvd_4h,-0.048657804521777474,-3.525092999419565,25,0.048657804521777474
W1,12,taker_cvd_12h,-0.05434617787245148,-2.7629345837104378,25,0.05434617787245148
W1,12,taker_cvd_24h,-0.0449358526953656,-2.085982095562782,25,0.0449358526953656
W1,12,taker_zscore,-0.026103941502555614,-3.4293714114262115,25,0.026103941502555614
W1,12,top_ls_ratio_zscore,-0.05083297181582533,-2.6280308367272536,25,0.05083297181582533
W1,12,global_ls_ratio_zscore,0.005519694145741415,0.26256046317019993,25,0.005519694145741415
W1,12,ls_divergence,-0.03925036767108469,-4.188877315910637,25,0.03925036767108469
W1,12,premium_index,-0.06883347019093514,-4.692771597026188,25,0.06883347019093514
W1,12,premium_zscore,-0.05354178089584263,-4.677491323015278,25,0.05354178089584263
W1,24,ret_1h,-0.036374679902645334,-2.6990339756357504,25,0.036374679902645334
W1,24,ret_4h,-0.06978744139602538,-2.7807642129804804,25,0.06978744139602538
W1,24,ret_12h,-0.07765601049197196,-2.8905302128497694,25,0.07765601049197196
W1,24,ret_24h,-0.08366928475025874,-2.680932256684246,25,0.08366928475025874
W1,24,ret_48h,-0.08844917297543668,-2.3696022945942103,25,0.08844917297543668
W1,24,ret_168h,-0.17663790414072758,-4.130718883253821,25,0.17663790414072758
W1,24,rvol_12h,0.0649753074990672,2.082576809839267,25,0.0649753074990672
W1,24,rvol_24h,0.041644439906538745,1.1949599073955304,25,0.041644439906538745
W1,24,rvol_168h,-0.022635989904019497,-0.7950390494712826,25,0.022635989904019497
W1,24,vol_ratio_12h,0.0425791416899929,1.100477856936247,25,0.0425791416899929
W1,24,vol_ratio_24h,0.042084849443868685,0.9711169690647795,25,0.042084849443868685
W1,24,mom_z_12h,-0.07330422322565272,-2.6715729536700024,25,0.07330422322565272
